"Isolate","level 1","level 2","level 3"
"DW013",1,1,1
"DW027",1,2,4
"DW033",2,5,8
"DW039",3,9,11
"DW041",4,12,14
"DW043",4,12,14
"DW047",5,16,16
"DW050",1,3,20
"DW055",5,17,24
"DW058",4,13,28
"DW065",1,2,5
"DW077",5,17,25
"DW079",1,1,1
"DW081",6,20,30
"DW085",5,17,26
"DW088",5,17,25
"DW096",4,14,32
"DW097",5,18,34
"DW098",1,3,20
"DW100",3,9,11
"DW108",4,15,38
"DW112",2,6,42
"DW119",4,12,14
"DW121",3,10,44
"DW123",5,16,17
"DW124",5,17,25
"DW128",5,18,35
"DW129",3,9,11
"DW131",5,16,17
"DW133",2,7,48
"DW140",1,3,21
"DW141",4,15,38
"DW148",4,12,14
"DW153",4,12,14
"DW155",4,12,14
"DW166",1,1,2
"DW167",1,2,6
"DW170",4,15,39
"DW172",2,7,49
"DW266",5,17,24
"DW268",2,6,42
"DW269",2,6,42
"DW270",2,6,42
"DW271",2,8,51
"DW272",2,7,48
"DW273",4,12,14
"DW276",3,9,12
"DW277",6,21,52
"DW278",3,10,45
"DW279",4,15,38
"DW281",4,12,14
"DW282",5,18,35
"DW283",3,10,45
"DW284",5,19,53
"DW285",2,6,43
"DW286",4,15,38
"DW287",3,10,45
"DW289",1,3,22
"DW290",5,17,25
"DW292",2,6,42
"DW293",6,20,30
"DW295",6,22,55
"DW296",6,20,30
"DW299",4,12,14
"DW301",4,12,14
"DW303",5,17,25
"DW304",1,2,5
"DW305",5,19,53
"DW307",4,12,14
"DW308",4,12,14
"DW309",4,12,14
"DW310",6,20,30
"DW311",3,10,45
"DW312",5,17,24
"DW313",2,5,8
"DW315",5,17,25
"DW316",4,12,14
"DW318",6,22,56
"DW320",3,10,45
"DW321",3,10,45
"DW322",4,12,14
"DW325",4,12,14
"DW326",3,10,45
"DW329",4,13,29
"DW330",2,5,8
"DW331",4,12,14
"DW332",3,10,46
"DW334",2,6,42
"DW336",3,10,47
"DW337",5,19,54
"DW339",4,13,28
"DW341",2,7,50
"DW342",1,2,4
"DW344",3,10,44
"DW345",5,19,54
"DW346",4,15,40
"DW347",4,12,14
"DW349",4,12,14
"DW351",4,15,39
"DW353",4,12,14
"DW354",2,6,42
"DW355",4,12,14
"DW356",6,20,31
"DW359",4,15,41
"DW360",5,16,16
"DW361",3,10,45
"DW365",4,12,14
"DW366",2,6,43
"DW368",1,2,5
"DW369",1,2,4
"DW370",4,12,14
"DW371",5,17,25
"DW372",2,7,49
"DW373",2,8,51
"DW374",4,12,14
"DW375",2,7,48
"DW376",4,12,14
"DW377",5,17,26
"DW379",2,6,43
"DW380",2,6,42
"DW381",5,16,18
"DW382",1,4,57
"DW383",6,23,58
"DW384",4,12,14
"DW385",5,16,16
"DW386",5,16,18
"DW387",2,5,9
"DW388",5,17,26
"DW389",1,2,5
"DW390",4,12,15
"DW391",4,12,15
"DW392",4,12,14
"DW394",1,3,20
"DW395",5,19,53
"DW396",2,5,10
"DW397",4,12,14
"DW398",1,2,6
"DW401",4,12,14
"DW402",3,9,12
"DW405",2,5,10
"DW409",5,18,36
"DW410",4,12,14
"DW413",4,12,15
"DW414",4,12,14
"DW415",4,13,28
"DW418",4,15,39
"DW419",5,17,25
"DW420",3,10,46
"DW423",3,11,59
"DW425",4,12,14
"DW427",4,12,14
"DW428",2,6,43
"DW429",1,2,6
"DW430",3,10,45
"DW432",5,18,37
"DW433",6,22,56
"DW434",5,16,19
"DW435",5,17,25
"DW436",1,2,6
"DW438",4,15,40
"DW439",5,16,16
"DW440",4,12,14
"DW441",6,22,55
"DW442",5,16,19
"DW443",2,5,10
"DW444",4,12,15
"DW446",2,5,10
"DW448",4,12,14
"DW449",2,7,48
"DW450",5,18,35
"DW451",4,12,15
"DW452",1,3,23
"DW454",3,9,13
"DW456",4,15,39
"DW458",3,10,47
"DW460",2,5,10
"DW462",4,15,38
"DW463",4,14,32
"DW464",2,7,50
"DW481",1,4,57
"DW482",6,22,56
"DW483",5,16,19
"DW484",4,12,14
"DW485",4,12,14
"DW486",2,5,8
"DW487",4,14,33
"DW488",1,1,2
"DW489",6,20,30
"DW493",4,14,33
"M2282",5,17,25
"M2300",5,17,25
"M2321",5,18,36
"M2341",5,18,35
"M30",5,17,25
"M6090",5,17,27
"M6151",5,17,27
"M6257",5,18,37
"M6270",5,17,25
"M6280",1,1,2
"M6282",1,2,7
"M6283",1,1,3
"M6284",5,17,25
"M6285",1,3,21
"M6286",1,1,2
"M6303",5,17,25
"M6312",5,17,27
"M6320",1,3,22
"M6327",5,17,25
"M6328",5,17,25
"M6475",5,18,37
"M6489",4,12,14
"M6593",5,18,36
"M6604",1,3,21
"M6711",1,2,6
"M6713",2,5,10
"R32G",5,17,25
"Reference",5,17,25
"TW10-5G",5,17,25
"TW10-6G",5,17,25
"TW48-5G",5,17,25
"UTMB-10G",5,17,25
